company_name,ticker,start_date,end_date,num_days,start_price,end_price
Adani Enterprises,ADANIENT.NS,2015-01-01,2024-12-30,2466,70.76136779785156,2591.065673828125
Adani Green Energy,ADANIGREEN.NS,2018-06-18,2024-12-30,1612,31.5,1075.6500244140625
Adani Ports,ADANIPORTS.NS,2015-01-01,2024-12-30,2466,301.77288818359375,1212.6004638671875
Adani Power,ADANIPOWER.NS,2015-01-01,2024-12-30,2466,8.84000015258789,107.88999938964844
Affle India,AFFLE.NS,2019-08-08,2024-12-30,1332,174.72999572753906,1798.199951171875
Asian Paints,ASIANPAINT.NS,2015-01-01,2024-12-30,2466,684.9317016601562,2263.798095703125
Avenue Supermarts,DMART.NS,2017-03-21,2024-12-30,1921,641.5999755859375,3588.550048828125
Axis Bank,AXISBANK.NS,2015-01-01,2024-12-30,2466,486.962890625,1069.036376953125
Bajaj Finance,BAJFINANCE.NS,2015-01-01,2024-12-30,2466,33.75812530517578,684.6007080078125
Bajaj Finserv,BAJAJFINSV.NS,2015-01-01,2024-12-30,2466,127.90367889404297,1575.93212890625
Balaji Amines,BALAMINES.NS,2015-01-01,2024-12-30,2466,67.74022674560547,1733.1019287109375
Biocon,BIOCON.NS,2015-01-01,2024-12-30,2466,68.26109313964844,367.20904541015625
Burger King,RBA.NS,2020-12-14,2024-12-30,999,135.0,83.5199966430664
Cipla,CIPLA.NS,2015-01-01,2024-12-30,2466,586.8890991210938,1505.3197021484375
Deepak Nitrite,DEEPAKNTR.NS,2015-01-01,2024-12-30,2466,76.9323501586914,2503.24072265625
Delhivery,DELHIVERY.NS,2022-05-24,2024-12-30,643,536.3499755859375,347.95001220703125
Divi's Labs,DIVISLAB.NS,2015-01-01,2024-12-30,2466,799.1676025390625,6017.599609375
Dixon Technologies,DIXON.NS,2017-09-18,2024-12-30,1798,575.4086303710938,18095.546875
Dr Reddy's,DRREDDY.NS,2015-01-01,2024-12-30,2466,597.1715087890625,1368.2225341796875
Gland Pharma,GLAND.NS,2020-11-20,2024-12-30,1014,1784.343994140625,1768.029296875
HDFC Bank,HDFCBANK.NS,2015-01-01,2024-12-30,2466,217.23533630371094,877.0943603515625
HDFC Life,HDFCLIFE.NS,2017-11-17,2024-12-30,1756,336.698486328125,615.6981811523438
Hindustan Unilever,HINDUNILVR.NS,2015-01-01,2024-12-30,2466,633.171875,2301.0234375
ICICI Bank,ICICIBANK.NS,2015-01-01,2024-12-30,2466,294.0238342285156,1284.7369384765625
ICICI Lombard,ICICIGI.NS,2017-09-27,2024-12-30,1791,647.101806640625,1794.2337646484375
IRCTC,IRCTC.NS,2019-10-14,2024-12-30,1291,139.82867431640625,764.727294921875
ITC Ltd.,ITC.NS,2015-01-01,2024-12-30,2466,173.04220581054688,461.0921630859375
Infosys,INFY.NS,2015-01-01,2024-12-30,2466,367.7708435058594,1851.2144775390625
Jubilant FoodWorks,JUBLFOOD.NS,2015-01-01,2024-12-30,2466,133.22299194335938,717.4990844726562
Larsen & Toubro,LT.NS,2015-01-01,2024-12-30,2466,848.3334350585938,3545.8798828125
Laurus Labs,LAURUSLABS.NS,2016-12-19,2024-12-30,1984,92.6819076538086,586.1155395507812
Lupin,LUPIN.NS,2015-01-01,2024-12-30,2466,1344.990478515625,2297.0634765625
Muthoot Finance,MUTHOOTFIN.NS,2015-01-01,2024-12-30,2466,173.6448211669922,2076.092529296875
Nykaa,NYKAA.NS,2021-11-10,2024-12-30,775,367.6333312988281,161.9499969482422
Paytm,PAYTM.NS,2021-11-18,2024-12-30,769,1560.800048828125,1020.9000244140625
PolicyBazaar,POLICYBZR.NS,2021-11-15,2024-12-30,772,1202.300048828125,2107.85009765625
Reliance Industries,RELIANCE.NS,2015-01-01,2024-12-30,2466,189.9998321533203,1205.8837890625
Route Mobile,ROUTE.NS,2020-09-21,2024-12-30,1057,628.206787109375,1398.2408447265625
State Bank of India,SBIN.NS,2015-01-01,2024-12-30,2466,279.8805236816406,772.7828369140625
Sun Pharma,SUNPHARMA.NS,2015-01-01,2024-12-30,2466,757.8303833007812,1866.47021484375
TCS,TCS.NS,2015-01-01,2024-12-30,2466,1006.8563842773438,4019.001220703125
Tata Chemicals,TATACHEM.NS,2015-01-01,2024-12-30,2466,132.10606384277344,1019.9816284179688
Tata Motors,TATAMOTORS.NS,2015-01-01,2024-12-30,2466,484.241943359375,727.39599609375
Tata Power,TATAPOWER.NS,2015-01-01,2024-12-30,2466,70.00164031982422,387.4695739746094
Titan,TITAN.NS,2015-01-01,2024-12-30,2466,362.7237243652344,3247.57666015625
Zomato,ETERNAL.NS,2021-07-23,2024-12-30,828,126.0,282.1000061035156
