company_name,ticker,start_date,end_date,num_days,start_price,end_price
Adani Enterprises,ADANIENT.NS,2020-02-03,2022-12-30,724,218.81321716308594,3853.064453125
Adani Green Energy,ADANIGREEN.NS,2020-02-03,2022-12-30,724,196.14999389648438,1931.800048828125
Adani Ports,ADANIPORTS.NS,2020-02-03,2022-12-30,724,352.6951599121094,805.2474365234375
Adani Power,ADANIPOWER.NS,2020-02-03,2022-12-30,724,11.800000190734863,59.90999984741211
Affle India,AFFLE.NS,2020-02-03,2022-12-30,724,350.8800048828125,1082.75
Avenue Supermarts,DMART.NS,2020-02-03,2022-12-30,724,2131.64990234375,4068.75
Bajaj Finance,BAJFINANCE.NS,2020-02-03,2022-12-30,724,426.0467529296875,647.4722290039062
Bajaj Finserv,BAJAJFINSV.NS,2020-02-03,2022-12-30,724,906.06689453125,1545.3062744140625
Balaji Amines,BALAMINES.NS,2020-02-03,2022-12-30,724,385.8153991699219,2668.188232421875
Biocon,BIOCON.NS,2020-02-03,2022-12-30,724,295.4910888671875,259.6289978027344
Burger King,RBA.NS,2020-12-14,2022-12-30,509,135.0,111.75
Cipla,CIPLA.NS,2020-02-03,2022-12-30,724,423.75311279296875,1047.134521484375
Deepak Nitrite,DEEPAKNTR.NS,2020-02-03,2022-12-30,724,398.58563232421875,1964.666015625
Delhivery,DELHIVERY.NS,2022-05-24,2022-12-30,153,536.3499755859375,331.45001220703125
Divi's Labs,DIVISLAB.NS,2020-02-03,2022-12-30,724,1899.4686279296875,3349.95361328125
Dixon Technologies,DIXON.NS,2020-02-03,2022-12-30,724,946.0677490234375,3899.054931640625
Dr Reddy's,DRREDDY.NS,2020-02-03,2022-12-30,724,605.4714965820312,830.7146606445312
Gland Pharma,GLAND.NS,2020-11-20,2022-12-30,524,1784.343994140625,1546.0457763671875
HDFC Life,HDFCLIFE.NS,2020-02-03,2022-12-30,724,556.7781372070312,560.92578125
ICICI Lombard,ICICIGI.NS,2020-02-03,2022-12-30,724,1252.1605224609375,1210.2274169921875
IRCTC,IRCTC.NS,2020-02-03,2022-12-30,724,240.33621215820312,622.6526489257812
Jubilant FoodWorks,JUBLFOOD.NS,2020-02-03,2022-12-30,724,385.8004150390625,507.8359375
Laurus Labs,LAURUSLABS.NS,2020-02-03,2022-12-30,724,83.7183609008789,372.0174255371094
Lupin,LUPIN.NS,2020-02-03,2022-12-30,724,685.5484008789062,722.8621215820312
Muthoot Finance,MUTHOOTFIN.NS,2020-02-03,2022-12-30,724,673.649658203125,1013.4284057617188
Nykaa,NYKAA.NS,2021-11-10,2022-12-30,285,367.6333312988281,154.85000610351562
Paytm,PAYTM.NS,2021-11-18,2022-12-30,279,1560.800048828125,531.0
PolicyBazaar,POLICYBZR.NS,2021-11-15,2022-12-30,282,1202.300048828125,448.29998779296875
Route Mobile,ROUTE.NS,2020-09-21,2022-12-30,567,628.2068481445312,1180.095458984375
Sun Pharma,SUNPHARMA.NS,2020-02-03,2022-12-30,724,392.9486389160156,972.62451171875
Tata Chemicals,TATACHEM.NS,2020-02-03,2022-12-30,724,294.1529235839844,897.919677734375
Tata Motors,TATAMOTORS.NS,2020-02-03,2022-12-30,724,160.95205688476562,381.0885009765625
Tata Power,TATAPOWER.NS,2020-02-03,2022-12-30,724,51.094852447509766,203.63638305664062
Zomato,ETERNAL.NS,2021-07-23,2022-12-30,357,126.0,59.29999923706055
